"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"758",758,758,758,758,"F","HISPANIC OR LATINO","Y","N","Freshman",4.18,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Pomona","CA","N","Los Angeles","8"
"759",759,759,759,759,"F","HISPANIC OR LATINO","N","Y","Freshman",4.05,"N","N","N",NA,"HS","SOC","First Time Freshman","Second Year","Riverside","CA","N","Riverside","7"
"760",760,760,760,760,"F","HISPANIC OR LATINO","N","Y","Freshman",3.8,"N","N","N","Arlington High School",NA,"BIOL","First Time Freshman","Third Year","Riverside","CA","N","Riverside","7"
"761",761,761,761,761,"F","HISPANIC OR LATINO","Y","N","Freshman",3.85,"N","N","N","San Gabriel High School","HS","PRBS","First Time Freshman","Second Year","Altadena","CA","N","Other","Other"
"762",762,762,762,762,"M","WHITE","N","N","Freshman",3.04,"N","N","N","Aptos High School","HS","HSUN","First Time Freshman","Second Year","Aptos","CA","Yes","Other","Other"
"763",763,763,763,763,"F","BLACK OR AFRICAN AMERICAN","Y","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","ontario","CA","N","Other","Other"
"764",764,764,764,764,"F","HISPANIC OR LATINO","N","N","Freshman",3.88,"N","N","N","Heritage High School","HS","ANTH","First Time Freshman","Second Year","Menifee","CA","Yes","Riverside","7"
"765",765,765,765,765,"F","WHITE","N","N","Freshman",4.16,"Y","N","N","Santiago High School","HS","HIST","First Time Freshman","Third Year","Canyon Lake","CA","Yes","Riverside","7"
"766",766,766,766,766,"M","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N","Mount San Antonio College","HS","SOC","First Time Transfer","Incoming Transfer","Ontario","CA","Yes","San Bernardino","7"
"767",767,767,767,767,"M","HISPANIC OR LATINO","Y","N","Transfer",NA,"N","N","N",NA,"HS","PHIL","First Time Transfer","Incoming Transfer","Apple Valley","CA","Yes","San Bernardino","7"
"768",768,768,768,768,"F","HISPANIC OR LATINO","N","N","Freshman",4,"Y","N","N","Grand Terrace High School",NA,"NURO","First Time Freshman","Other","Grand Terrace","CA","Yes","San Bernardino","7"
